time,pos1,pos2,pos3
207.0,"(0, -125)",,
207.1,"(0, -125)",,
207.2,"(0, -125)",,
207.3,"(0, -125)",,
207.4,"(0, -125)",,
207.5,"(0, -125)",,
207.6,"(0, -125)",,
207.7,"(0, -125)",,
207.8,"(0, -125)",,
207.9,"(0, -125)",,
208.0,"(0, -125)",,
208.1,"(0, -125)",,
208.2,"(0, -125)",,
208.3,"(0, -125)",,
208.4,"(0, -125)",,
208.5,"(0, -125)",,
208.6,"(0, -125)",,
208.7,"(0, -125)",,
208.8,"(0, -125)",,
208.9,"(0, -125)",,
209.0,"(0, -125)",,
209.1,"(0, -125)",,
209.2,"(0, -125)",,
209.3,"(0, -125)",,
209.4,"(0, -125)",,
209.5,"(0, -125)",,
209.6,"(0, -125)",,
209.7,"(0, -125)",,
209.8,"(0, -125)",,
209.9,"(0, -125)",,
210.0,"(0, -125)",,
210.1,"(0, -125)",,
210.2,"(0, -125)",,
210.3,"(0, -125)",,
210.4,"(0, -125)",,
210.5,"(0, -125)",,
210.6,"(0, -125)",,
210.7,"(0, -125)",,
210.8,"(0, -125)",,
210.9,"(0, -125)",,
211.0,"(0, -125)",,
211.1,"(0, -125)",,
211.2,"(0, -125)",,
211.3,"(0, -125)",,
211.4,"(0, -125)",,
211.5,"(0, -125)",,
211.6,"(0, -125)",,
211.7,"(0, -125)",,
211.8,"(0, -125)",,
211.9,"(0, -125)",,
212.0,"(0, -125)",,
212.1,"(0, -124)",,
212.2,"(0, -124)",,
212.3,"(0, -124)",,
212.4,"(0, -123)",,
212.5,"(-1, -123)",,
212.6,"(-1, -122)",,
212.7,"(-2, -122)",,
212.8,"(-2, -122)",,
212.9,"(-3, -121)",,
213.0,"(-4, -121)",,
213.1,"(-4, -120)",,
213.2,"(-5, -120)",,
213.3,"(-5, -120)",,
213.4,"(-6, -119)",,
213.5,"(-6, -119)",,
213.6,"(-7, -118)",,
213.7,"(-7, -118)",,
213.8,"(-7, -117)",,
213.9,"(-7, -116)",,
214.0,"(-7, -115)",,
214.1,"(-7, -115)",,
214.2,"(-7, -114)",,
214.3,"(-7, -113)",,
214.4,"(-7, -113)",,
214.5,"(-7, -112)",,
214.6,"(-6, -111)",,
214.7,"(-6, -111)",,
214.8,"(-6, -110)",,
214.9,"(-6, -109)",,
215.0,"(-6, -109)",,
215.1,"(-6, -108)",,
215.2,"(-6, -107)",,
215.3,"(-5, -107)",,
215.4,"(-5, -106)",,
215.5,"(-5, -105)",,
215.6,"(-5, -105)",,
215.7,"(-5, -104)",,
215.8,"(-5, -103)",,
215.9,"(-5, -102)",,
216.0,"(-5, -102)",,
216.1,"(-5, -101)",,
216.2,"(-5, -100)",,
216.3,"(-5, -100)",,
216.4,"(-5, -99)",,
216.5,"(-5, -98)",,
216.6,"(-5, -98)",,
216.7,"(-5, -97)",,
216.8,"(-5, -96)",,
216.9,"(-5, -95)",,
217.0,"(-5, -95)",,
217.1,"(-5, -94)",,
217.2,"(-5, -93)",,
217.3,"(-5, -93)",,
217.4,"(-5, -92)",,
217.5,"(-5, -91)",,
217.6,"(-5, -91)",,
217.7,"(-5, -90)",,
217.8,"(-5, -89)",,
217.9,"(-5, -88)",,
218.0,"(-5, -88)",,
218.1,"(-5, -87)",,
218.2,"(-5, -86)",,
218.3,"(-4, -86)",,
218.4,"(-4, -85)",,
218.5,"(-3, -85)",,
218.6,"(-3, -84)",,
218.7,"(-2, -84)",,
218.8,"(-2, -83)",,
218.9,"(-1, -83)",,
219.0,"(-1, -82)","(120, 0)",
219.1,"(0, -82)","(120, 0)",
219.2,"(0, -81)","(120, 0)",
219.3,"(0, -81)","(120, 0)",
219.4,"(0, -80)","(120, 0)",
219.5,"(1, -80)","(120, 0)",
219.6,"(1, -79)","(120, 0)",
219.7,"(1, -78)","(120, 0)",
219.8,"(1, -78)","(120, 0)",
219.9,"(0, -77)","(120, 0)",
220.0,"(0, -77)","(120, 0)",
220.1,"(0, -76)","(120, 0)",
220.2,"(0, -75)","(120, 0)",
220.3,"(0, -75)","(120, 0)",
220.4,"(-1, -74)","(120, 0)",
220.5,"(-1, -74)","(120, 0)",
220.6,"(-2, -74)","(120, 0)",
220.7,"(-3, -73)","(120, 0)",
220.8,"(-3, -73)","(120, 0)",
220.9,"(-4, -73)","(120, 0)",
221.0,"(-5, -73)","(120, 0)",
221.1,"(-5, -72)","(120, 0)",
221.2,"(-6, -72)","(120, 0)",
221.3,"(-6, -71)","(120, 0)",
221.4,"(-6, -70)","(120, 0)",
221.5,"(-6, -70)","(120, 0)",
221.6,"(-6, -69)","(120, 0)",
221.7,"(-7, -68)","(120, 0)",
221.8,"(-7, -68)","(120, 0)",
221.9,"(-7, -67)","(120, 0)",
222.0,"(-7, -66)","(120, 0)",
222.1,"(-7, -66)","(120, 0)",
222.2,"(-7, -65)","(120, 0)",
222.3,"(-7, -64)","(120, 0)",
222.4,"(-6, -64)","(120, 0)",
222.5,"(-6, -63)","(120, 0)",
222.6,"(-6, -62)","(120, 0)",
222.7,"(-5, -62)","(120, 0)",
222.8,"(-5, -61)","(120, 0)",
222.9,"(-4, -61)","(120, 0)",
223.0,"(-3, -61)","(120, 0)",
223.1,"(-3, -61)","(120, 0)",
223.2,"(-2, -61)","(120, 0)",
223.3,"(-1, -61)","(120, 0)",
223.4,"(-1, -61)","(120, 0)",
223.5,"(0, -61)","(120, 0)",
223.6,"(0, -61)","(120, 0)",
223.7,"(0, -62)","(120, 0)",
223.8,"(1, -62)","(120, 0)",
223.9,"(1, -63)","(120, 0)",
224.0,"(1, -64)","(120, 0)",
224.1,"(1, -64)","(120, 0)",
224.2,"(1, -65)","(120, 0)",
224.3,"(0, -66)","(120, 0)",
224.4,"(0, -66)","(120, 0)",
224.5,"(0, -67)","(120, 0)",
224.6,"(0, -67)","(120, 0)",
224.7,"(-1, -67)","(120, 0)",
224.8,"(-1, -68)","(120, 0)",
224.9,"(-2, -68)","(120, 0)",
225.0,"(-3, -67)","(120, 0)",
225.1,"(-3, -67)","(120, 0)",
225.2,"(-4, -67)","(120, 0)",
225.3,"(-4, -66)","(120, 0)",
225.4,"(-5, -66)","(120, 0)",
225.5,"(-5, -65)","(120, 0)",
225.6,"(-6, -65)","(120, 0)",
225.7,"(-6, -64)","(120, 0)",
225.8,"(-6, -63)","(120, 0)",
225.9,"(-6, -63)","(120, 0)",
226.0,"(-6, -62)","(120, 0)",
226.1,"(-6, -62)","(120, 0)",
226.2,"(-6, -61)","(120, 0)",
226.3,"(-6, -61)","(120, 0)",
226.4,"(-6, -61)","(120, 0)",
226.5,"(-6, -60)","(120, 0)",
226.6,"(-5, -60)","(120, 0)",
226.7,"(-5, -59)","(120, 0)",
226.8,"(-4, -59)","(120, 0)",
226.9,"(-4, -58)","(120, 0)",
227.0,"(-4, -58)","(120, 0)",
227.1,"(-3, -58)","(120, 0)",
227.2,"(-3, -58)","(120, 0)",
227.3,"(-3, -58)","(120, 0)",
227.4,"(-3, -58)","(120, 0)",
227.5,"(-3, -58)","(120, 0)",
227.6,"(-3, -58)","(120, 0)",
227.7,"(-3, -58)","(120, 0)",
227.8,"(-3, -58)","(120, 0)",
227.9,"(-3, -58)","(120, 0)",
228.0,"(-3, -58)","(120, 0)",
228.1,"(-3, -58)","(120, 0)",
228.2,"(-3, -58)","(120, 0)",
228.3,"(-3, -58)","(120, 0)",
228.4,"(-3, -58)","(120, 0)",
228.5,"(-3, -58)","(120, 0)",
228.6,"(-3, -58)","(120, 0)",
228.7,"(-3, -58)","(120, 0)",
228.8,"(-3, -58)","(120, 0)",
228.9,"(-3, -58)","(120, 0)",
229.0,"(-3, -58)","(120, 0)",
229.1,"(-3, -58)","(120, 0)",
229.2,"(-3, -58)","(120, 0)",
229.3,"(-3, -58)","(120, 0)",
229.4,"(-3, -58)","(120, 0)",
229.5,"(-3, -58)","(120, 0)",
229.6,"(-3, -58)","(120, 0)",
229.7,"(-3, -58)","(120, 0)",
229.8,"(-3, -58)","(120, 0)",
229.9,"(-3, -58)","(120, 0)",
230.0,"(-3, -58)","(120, 0)","(0, 120)"
230.1,"(-3, -58)","(120, 0)","(0, 120)"
230.2,"(-3, -58)","(120, 0)","(0, 120)"
230.3,"(-3, -58)","(120, 0)","(0, 120)"
230.4,"(-3, -58)","(120, 0)","(0, 120)"
230.5,"(-3, -58)","(120, 0)","(0, 120)"
230.6,"(-3, -58)","(120, 0)","(0, 120)"
230.7,"(-3, -58)","(120, 0)","(0, 120)"
230.8,"(-3, -58)","(120, 0)","(0, 120)"
230.9,"(-3, -58)","(120, 0)","(0, 120)"
231.0,"(-3, -58)","(120, 0)","(0, 120)"
231.1,"(-3, -58)","(120, 0)","(0, 120)"
231.2,"(-3, -58)","(120, 0)","(0, 120)"
231.3,"(-3, -58)","(120, 0)","(0, 120)"
231.4,"(-3, -58)","(120, 0)","(0, 120)"
231.5,"(-3, -58)","(120, 0)","(0, 120)"
231.6,"(-3, -58)","(120, 0)","(0, 120)"
231.7,"(-3, -58)","(120, 0)","(0, 120)"
231.8,"(-3, -58)","(120, 0)","(0, 120)"
231.9,"(-3, -58)","(120, 0)","(0, 120)"
232.0,"(-3, -58)","(120, 0)","(0, 120)"
232.1,"(-3, -58)","(120, 0)","(0, 120)"
232.2,"(-3, -58)","(120, 0)","(0, 120)"
232.3,"(-3, -58)","(120, 0)","(0, 120)"
232.4,"(-3, -58)","(120, 0)","(0, 120)"
232.5,"(-3, -58)","(120, 0)","(0, 120)"
232.6,"(-3, -58)","(120, 0)","(0, 120)"
232.7,"(-3, -58)","(120, 0)","(0, 120)"
232.8,"(-3, -58)","(120, 0)","(0, 120)"
232.9,"(-3, -58)","(119, 0)","(0, 120)"
233.0,"(-3, -58)","(119, 0)","(0, 120)"
233.1,"(-3, -58)","(119, 1)","(0, 120)"
233.2,"(-3, -58)","(119, 2)","(0, 120)"
233.3,"(-3, -58)","(119, 2)","(0, 120)"
233.4,"(-3, -58)","(118, 3)","(0, 120)"
233.5,"(-3, -58)","(117, 3)","(0, 120)"
233.6,"(-3, -58)","(117, 3)","(0, 120)"
233.7,"(-3, -58)","(116, 3)","(0, 120)"
233.8,"(-3, -58)","(115, 3)","(0, 120)"
233.9,"(-3, -58)","(115, 3)","(0, 120)"
234.0,"(-3, -58)","(114, 3)","(0, 120)"
234.1,"(-3, -58)","(113, 3)","(0, 120)"
234.2,"(-3, -58)","(112, 3)","(0, 120)"
234.3,"(-3, -58)","(112, 3)","(0, 120)"
234.4,"(-3, -58)","(112, 2)","(0, 120)"
234.5,"(-3, -58)","(111, 2)","(0, 120)"
234.6,"(-3, -58)","(111, 2)","(0, 120)"
234.7,"(-3, -58)","(111, 2)","(0, 120)"
234.8,"(-3, -58)","(111, 2)","(0, 120)"
234.9,"(-3, -58)","(111, 2)","(0, 120)"
235.0,"(-3, -58)","(111, 2)","(0, 120)"
235.1,"(-3, -58)","(111, 2)","(0, 120)"
235.2,"(-3, -58)","(111, 2)","(0, 120)"
235.3,"(-3, -58)","(111, 2)","(0, 120)"
235.4,"(-3, -58)","(111, 2)","(0, 120)"
235.5,"(-3, -58)","(111, 2)","(0, 120)"
235.6,"(-3, -58)","(111, 2)","(0, 120)"
235.7,"(-3, -58)","(111, 2)","(0, 120)"
235.8,"(-3, -58)","(111, 2)","(0, 120)"
235.9,"(-3, -58)","(111, 2)","(0, 120)"
236.0,"(-3, -58)","(111, 2)","(0, 120)"
236.1,"(-3, -58)","(111, 2)","(0, 120)"
236.2,"(-3, -58)","(111, 2)","(0, 120)"
236.3,"(-3, -58)","(111, 2)","(0, 120)"
236.4,"(-3, -58)","(111, 2)","(0, 120)"
236.5,"(-3, -58)","(111, 2)","(0, 120)"
236.6,"(-3, -58)","(111, 2)","(0, 120)"
236.7,"(-3, -58)","(111, 2)","(0, 120)"
236.8,"(-3, -58)","(111, 2)","(0, 120)"
236.9,"(-3, -58)","(111, 2)","(0, 120)"
237.0,"(-3, -58)","(111, 2)","(0, 120)"
237.1,"(-3, -58)","(111, 2)","(0, 120)"
237.2,"(-3, -58)","(111, 2)","(0, 120)"
237.3,"(-3, -58)","(111, 2)","(0, 120)"
237.4,"(-3, -58)","(111, 2)","(0, 120)"
237.5,"(-3, -58)","(111, 2)","(0, 120)"
237.6,"(-3, -58)","(111, 2)","(0, 120)"
237.7,"(-3, -58)","(111, 2)","(0, 120)"
237.8,"(-3, -58)","(111, 2)","(0, 120)"
237.9,"(-3, -58)","(111, 2)","(0, 120)"
238.0,"(-3, -58)","(111, 2)","(0, 120)"
238.1,"(-3, -58)","(111, 2)","(0, 120)"
238.2,"(-3, -58)","(111, 2)","(0, 120)"
238.3,"(-3, -58)","(111, 2)","(0, 120)"
238.4,"(-3, -58)","(111, 2)","(0, 120)"
238.5,"(-3, -58)","(111, 2)","(0, 120)"
238.6,"(-3, -58)","(111, 2)","(0, 120)"
238.7,"(-3, -58)","(111, 2)","(0, 120)"
238.8,"(-3, -58)","(111, 2)","(0, 120)"
238.9,"(-3, -58)","(111, 2)","(0, 120)"
239.0,"(-3, -58)","(111, 2)","(0, 120)"
239.1,"(-3, -58)","(111, 2)","(0, 120)"
239.2,"(-3, -58)","(111, 2)","(0, 120)"
239.3,"(-3, -58)","(111, 2)","(0, 120)"
239.4,"(-3, -58)","(111, 2)","(0, 121)"
239.5,"(-3, -58)","(111, 2)","(0, 122)"
239.6,"(-3, -58)","(111, 2)","(0, 122)"
239.7,"(-3, -58)","(111, 2)","(0, 123)"
239.8,"(-3, -58)","(111, 2)","(1, 123)"
239.9,"(-3, -58)","(111, 2)","(1, 123)"
240.0,"(-3, -58)","(111, 2)","(2, 124)"
240.1,"(-3, -58)","(111, 2)","(3, 123)"
240.2,"(-3, -58)","(111, 2)","(4, 123)"
240.3,"(-3, -58)","(111, 2)","(4, 123)"
240.4,"(-3, -58)","(111, 2)","(5, 123)"
240.5,"(-3, -58)","(111, 2)","(6, 122)"
240.6,"(-3, -58)","(111, 2)","(6, 122)"
240.7,"(-3, -58)","(111, 2)","(7, 122)"
240.8,"(-3, -58)","(111, 2)","(7, 121)"
240.9,"(-3, -58)","(111, 2)","(7, 121)"
241.0,"(-3, -58)","(111, 2)","(7, 120)"
241.1,"(-3, -58)","(111, 2)","(8, 119)"
241.2,"(-3, -58)","(111, 2)","(8, 118)"
241.3,"(-3, -58)","(111, 2)","(8, 118)"
241.4,"(-3, -58)","(111, 2)","(8, 117)"
241.5,"(-3, -58)","(111, 2)","(9, 117)"
241.6,"(-3, -58)","(111, 2)","(9, 116)"
241.7,"(-3, -58)","(111, 2)","(9, 115)"
241.8,"(-3, -58)","(111, 2)","(9, 115)"
241.9,"(-3, -58)","(111, 2)","(9, 114)"
242.0,"(-3, -58)","(111, 2)","(10, 113)"
242.1,"(-3, -58)","(111, 2)","(10, 112)"
242.2,"(-3, -58)","(111, 2)","(10, 112)"
242.3,"(-3, -58)","(111, 2)","(10, 111)"
242.4,"(-3, -58)","(111, 2)","(10, 111)"
242.5,"(-3, -58)","(111, 2)","(11, 110)"
242.6,"(-3, -58)","(111, 2)","(11, 109)"
242.7,"(-3, -58)","(111, 2)","(11, 108)"
242.8,"(-3, -58)","(111, 2)","(11, 108)"
242.9,"(-3, -58)","(111, 2)","(11, 107)"
243.0,"(-3, -58)","(111, 2)","(11, 106)"
243.1,"(-3, -58)","(111, 2)","(11, 106)"
243.2,"(-3, -58)","(111, 2)","(11, 105)"
243.3,"(-3, -58)","(111, 2)","(12, 104)"
243.4,"(-3, -58)","(111, 2)","(12, 103)"
243.5,"(-3, -58)","(111, 2)","(12, 103)"
243.6,"(-3, -58)","(111, 2)","(12, 102)"
243.7,"(-3, -58)","(111, 2)","(12, 101)"
243.8,"(-3, -58)","(111, 2)","(12, 101)"
243.9,"(-3, -58)","(111, 2)","(12, 100)"
244.0,"(-3, -58)","(111, 2)","(12, 99)"
244.1,"(-3, -58)","(111, 2)","(12, 99)"
244.2,"(-3, -58)","(111, 2)","(12, 98)"
244.3,"(-3, -58)","(111, 2)","(12, 97)"
244.4,"(-3, -58)","(111, 2)","(12, 97)"
244.5,"(-3, -58)","(111, 2)","(12, 96)"
244.6,"(-3, -58)","(111, 2)","(12, 95)"
244.7,"(-3, -58)","(111, 2)","(12, 95)"
244.8,"(-3, -58)","(111, 2)","(12, 94)"
244.9,"(-3, -58)","(111, 2)","(12, 93)"
245.0,"(-3, -58)","(111, 2)","(12, 92)"
245.1,"(-3, -58)","(111, 2)","(12, 92)"
245.2,"(-3, -58)","(111, 2)","(12, 91)"
245.3,"(-3, -58)","(111, 2)","(12, 90)"
245.4,"(-3, -58)","(111, 2)","(12, 90)"
245.5,"(-3, -58)","(111, 2)","(13, 89)"
245.6,"(-3, -58)","(111, 2)","(13, 88)"
245.7,"(-3, -58)","(111, 2)","(13, 88)"
245.8,"(-3, -58)","(111, 2)","(13, 87)"
245.9,"(-3, -58)","(111, 2)","(14, 87)"
246.0,"(-3, -58)","(111, 2)","(14, 86)"
246.1,"(-3, -58)","(111, 2)","(14, 86)"
246.2,"(-3, -58)","(111, 2)","(14, 86)"
246.3,"(-3, -58)","(111, 2)","(14, 86)"
246.4,"(-3, -58)","(111, 2)","(14, 86)"
246.5,"(-3, -58)","(111, 2)","(14, 86)"
246.6,"(-3, -58)","(111, 2)","(14, 86)"
246.7,"(-3, -58)","(111, 2)","(14, 86)"
246.8,"(-3, -58)","(111, 2)","(14, 86)"
246.9,"(-3, -58)","(111, 2)","(14, 86)"
247.0,"(-3, -58)","(111, 2)","(14, 86)"
247.1,"(-3, -58)","(111, 2)","(14, 86)"
247.2,"(-3, -58)","(111, 2)","(14, 86)"
247.3,"(-3, -58)","(111, 2)","(14, 86)"
247.4,"(-3, -58)","(111, 2)","(14, 86)"
247.5,"(-3, -58)","(111, 2)","(14, 86)"
247.6,"(-3, -58)","(111, 2)","(14, 86)"
247.7,"(-3, -58)","(111, 2)","(14, 86)"
247.8,"(-3, -58)","(111, 2)","(14, 86)"
247.9,"(-3, -58)","(111, 2)","(14, 86)"
248.0,"(-3, -58)","(111, 2)","(14, 86)"
248.1,"(-3, -58)","(111, 2)","(14, 86)"
248.2,"(-3, -58)","(111, 2)","(14, 86)"
248.3,"(-3, -58)","(111, 2)","(14, 86)"
248.4,"(-3, -58)","(111, 2)","(14, 86)"
248.5,"(-3, -58)","(111, 2)","(14, 86)"
248.6,"(-3, -58)","(111, 2)","(14, 86)"
248.7,"(-3, -58)","(111, 2)","(14, 86)"
248.8,"(-3, -58)","(111, 2)","(14, 86)"
248.9,"(-3, -58)","(111, 2)","(14, 86)"
249.0,"(-3, -58)","(111, 2)","(14, 86)"
249.1,"(-3, -58)","(111, 2)","(14, 86)"
249.2,"(-3, -58)","(111, 2)","(14, 86)"
249.3,"(-3, -58)","(111, 2)","(14, 86)"
249.4,"(-3, -58)","(111, 2)","(14, 86)"
249.5,"(-3, -58)","(111, 2)","(14, 86)"
249.6,"(-3, -58)","(111, 2)","(14, 86)"
249.7,"(-3, -58)","(111, 2)","(14, 86)"
249.8,"(-3, -58)","(111, 2)","(14, 86)"
249.9,"(-3, -58)","(111, 2)","(14, 86)"
250.0,"(-3, -58)","(111, 2)","(14, 86)"
250.1,"(-3, -58)","(111, 2)","(14, 86)"
250.2,"(-3, -58)","(111, 2)","(14, 86)"
250.3,"(-3, -58)","(111, 2)","(14, 86)"
250.4,"(-3, -58)","(111, 2)","(14, 86)"
250.5,"(-3, -58)","(111, 2)","(14, 86)"
250.6,"(-3, -58)","(111, 2)","(14, 86)"
250.7,"(-3, -58)","(111, 2)","(14, 86)"
250.8,"(-3, -58)","(111, 2)","(14, 86)"
250.9,"(-3, -58)","(111, 2)","(14, 86)"
251.0,"(-3, -58)","(111, 2)","(14, 86)"
251.1,"(-3, -58)","(111, 2)","(14, 86)"
251.2,"(-3, -58)","(111, 2)","(14, 86)"
251.3,"(-3, -58)","(111, 2)","(14, 86)"
251.4,"(-3, -58)","(111, 2)","(14, 86)"
251.5,"(-3, -58)","(111, 2)","(14, 86)"
251.6,"(-3, -58)","(111, 2)","(14, 86)"
251.7,"(-3, -58)","(111, 2)","(14, 86)"
251.8,"(-3, -58)","(111, 2)","(14, 86)"
251.9,"(-3, -58)","(111, 2)","(14, 86)"
252.0,"(-3, -58)","(111, 2)","(14, 86)"
252.1,"(-3, -58)","(111, 2)","(14, 86)"
252.2,"(-3, -58)","(111, 2)","(14, 86)"
252.3,"(-3, -58)","(111, 2)","(14, 86)"
252.4,"(-3, -58)","(111, 2)","(14, 86)"
252.5,"(-3, -58)","(111, 2)","(13, 86)"
252.6,"(-3, -58)","(111, 2)","(13, 86)"
252.7,"(-3, -58)","(111, 2)","(12, 86)"
252.8,"(-3, -58)","(111, 2)","(12, 85)"
252.9,"(-3, -58)","(111, 2)","(11, 85)"
253.0,"(-3, -58)","(111, 2)","(11, 85)"
253.1,"(-3, -58)","(111, 2)","(10, 84)"
253.2,"(-3, -58)","(111, 2)","(9, 84)"
253.3,"(-3, -58)","(111, 2)","(9, 84)"
253.4,"(-3, -58)","(111, 2)","(8, 83)"
253.5,"(-3, -58)","(111, 2)","(7, 83)"
253.6,"(-3, -58)","(111, 2)","(7, 83)"
253.7,"(-3, -58)","(111, 2)","(6, 83)"
253.8,"(-3, -58)","(111, 2)","(5, 82)"
253.9,"(-3, -58)","(111, 2)","(5, 82)"
254.0,"(-3, -58)","(111, 2)","(4, 81)"
254.1,"(-3, -58)","(111, 2)","(4, 81)"
254.2,"(-3, -58)","(111, 2)","(3, 80)"
254.3,"(-3, -58)","(111, 2)","(3, 80)"
254.4,"(-3, -58)","(111, 2)","(2, 79)"
254.5,"(-3, -58)","(111, 2)","(2, 79)"
254.6,"(-3, -58)","(111, 2)","(2, 78)"
254.7,"(-3, -58)","(111, 2)","(1, 78)"
254.8,"(-3, -58)","(111, 2)","(1, 77)"
254.9,"(-3, -58)","(111, 2)","(1, 76)"
255.0,"(-3, -58)","(111, 2)","(1, 76)"
255.1,"(-3, -58)","(111, 2)","(1, 75)"
255.2,"(-3, -58)","(111, 2)","(1, 74)"
255.3,"(-3, -58)","(111, 2)","(1, 73)"
255.4,"(-3, -58)","(111, 2)","(1, 73)"
255.5,"(-3, -58)","(111, 2)","(1, 72)"
255.6,"(-3, -58)","(111, 2)","(1, 72)"
255.7,"(-3, -58)","(111, 2)","(1, 71)"
255.8,"(-3, -58)","(111, 2)","(1, 70)"
255.9,"(-3, -58)","(111, 2)","(1, 69)"
256.0,"(-3, -58)","(111, 2)","(1, 68)"
256.1,"(-3, -58)","(111, 2)","(1, 68)"
256.2,"(-3, -58)","(111, 2)","(1, 67)"
256.3,"(-3, -58)","(111, 2)","(1, 67)"
256.4,"(-3, -58)","(111, 2)","(0, 66)"
256.5,"(-3, -58)","(111, 2)","(0, 65)"
256.6,"(-3, -58)","(111, 2)","(0, 65)"
256.7,"(-3, -58)","(111, 2)","(0, 64)"
256.8,"(-3, -58)","(111, 2)","(0, 63)"
256.9,"(-3, -58)","(111, 2)","(0, 63)"
257.0,"(-3, -58)","(111, 2)","(0, 62)"
257.1,"(-3, -58)","(111, 2)","(-1, 61)"
257.2,"(-3, -58)","(111, 2)","(-1, 61)"
257.3,"(-3, -58)","(111, 2)","(-1, 60)"
257.4,"(-3, -58)","(111, 2)","(-1, 60)"
257.5,"(-3, -58)","(111, 2)","(-2, 59)"
257.6,"(-3, -58)","(111, 2)","(-2, 58)"
257.7,"(-3, -58)","(111, 2)","(-2, 58)"
257.8,"(-3, -58)","(111, 2)","(-3, 57)"
257.9,"(-3, -58)","(111, 2)","(-3, 56)"
258.0,"(-3, -58)","(111, 2)","(-3, 56)"
258.1,"(-3, -58)","(111, 2)","(-3, 55)"
258.2,"(-3, -58)","(111, 2)","(-4, 54)"
258.3,"(-3, -58)","(111, 2)","(-4, 54)"
258.4,"(-3, -58)","(111, 2)","(-4, 53)"
258.5,"(-3, -58)","(111, 2)","(-4, 53)"
258.6,"(-3, -58)","(111, 2)","(-5, 52)"
258.7,"(-3, -58)","(111, 2)","(-5, 51)"
258.8,"(-3, -58)","(111, 2)","(-5, 51)"
258.9,"(-3, -58)","(111, 2)","(-6, 50)"
259.0,"(-3, -58)","(111, 2)","(-6, 49)"
259.1,"(-3, -58)","(111, 2)","(-6, 49)"
259.2,"(-3, -58)","(111, 2)","(-7, 48)"
259.3,"(-3, -58)","(111, 2)","(-7, 47)"
259.4,"(-3, -58)","(111, 2)","(-7, 47)"
259.5,"(-3, -58)","(111, 2)","(-7, 46)"
